timestamp_ms,frequency_hz
0.000,0.0000
10.667,0.0000
21.333,0.0000
32.000,0.0000
42.667,0.0000
53.333,0.0000
64.000,0.0000
74.667,0.0000
85.333,0.0000
96.000,0.0000
106.667,0.0000
117.333,293.4413
128.000,295.1412
138.667,295.1412
149.333,296.8509
160.000,296.8509
170.667,296.8509
181.333,296.8509
192.000,298.5706
202.667,298.5706
213.333,300.3002
224.000,307.3193
234.667,310.8902
245.333,321.8537
256.000,325.5935
266.667,329.3767
277.333,331.2848
288.000,331.2848
298.667,331.2848
309.333,331.2848
320.000,331.2848
330.667,331.2848
341.333,333.2039
352.000,333.2039
362.667,333.2039
373.333,333.2039
384.000,329.3767
394.667,327.4796
405.333,329.3767
416.000,327.4796
426.667,0.0000
437.333,0.0000
448.000,0.0000
458.667,0.0000
469.333,0.0000
480.000,0.0000
490.667,0.0000
501.333,320.0000
512.000,309.0996
522.667,307.3193
533.333,307.3193
544.000,307.3193
554.667,296.8509
565.333,293.4413
576.000,291.7512
586.667,293.4413
597.333,293.4413
608.000,293.4413
618.667,295.1412
629.333,0.0000
640.000,0.0000
650.667,0.0000
661.333,0.0000
672.000,296.8509
682.667,296.8509
693.333,298.5706
704.000,296.8509
714.667,296.8509
725.333,295.1412
736.000,293.4413
746.667,291.7512
757.333,291.7512
768.000,291.7512
778.667,291.7512
789.333,290.0708
800.000,290.0708
810.667,296.8509
821.333,0.0000
832.000,0.0000
842.667,0.0000
853.333,0.0000
864.000,0.0000
874.667,0.0000
885.333,0.0000
896.000,0.0000
906.667,0.0000
917.333,0.0000
928.000,0.0000
938.667,0.0000
949.333,0.0000
960.000,0.0000
970.667,0.0000
981.333,0.0000
992.000,0.0000
1002.667,0.0000
1013.333,0.0000
1024.000,0.0000
1034.667,0.0000
1045.333,0.0000
1056.000,0.0000
1066.667,0.0000
1077.333,0.0000
1088.000,302.0398
1098.667,302.0398
1109.333,300.3002
1120.000,300.3002
1130.667,298.5706
1141.333,302.0398
1152.000,300.3002
1162.667,303.7895
1173.333,314.5026
1184.000,321.8537
1194.667,325.5935
1205.333,329.3767
1216.000,329.3767
1226.667,329.3767
1237.333,327.4796
1248.000,323.7182
1258.667,314.5026
1269.333,303.7895
1280.000,305.5493
1290.667,305.5493
1301.333,309.0996
1312.000,309.0996
1322.667,307.3193
1333.333,0.0000
1344.000,0.0000
1354.667,0.0000
1365.333,309.0996
1376.000,310.8902
1386.667,307.3193
1397.333,303.7895
1408.000,296.8509
1418.667,295.1412
1429.333,293.4413
1440.000,288.4001
1450.667,288.4001
1461.333,286.7391
1472.000,283.4456
1482.667,278.5762
1493.333,270.6457
1504.000,262.9409
1514.667,261.4265
1525.333,261.4265
1536.000,261.4265
1546.667,261.4265
1557.333,261.4265
1568.000,259.9208
1578.667,258.4237
1589.333,258.4237
1600.000,258.4237
1610.667,258.4237
1621.333,258.4237
1632.000,258.4237
